goal_id,employee_id,goal_title,weight_pct,achievement_pct,period
52,1018,Reduce time-to-hire,30,97.0,2024
53,1018,Improve eNPS,30,91.0,2024
54,1018,Improve eNPS,30,67.0,2024
55,1018,Cut regretted attrition,30,88.0,2024
56,1019,Grow pipeline,40,106.0,2024
57,1019,Grow pipeline,30,85.0,2024
58,1020,Reduce production incidents,40,72.0,2024
59,1020,Cut API latency,40,102.0,2024
60,1020,Improve test coverage,25,96.0,2024
61,1021,Improve data quality,40,94.0,2024
62,1021,Reduce query cost,25,78.0,2024
63,1022,Cut regretted attrition,50,80.0,2024
64,1022,Reduce time-to-hire,30,89.0,2024
65,1022,Cut regretted attrition,40,91.0,2024
66,1022,Reduce time-to-hire,20,97.0,2024
67,1023,Launch new module,25,65.0,2024
68,1023,Run discovery interviews,50,77.0,2024
69,1023,Run discovery interviews,25,83.0,2024
70,1023,Run discovery interviews,50,78.0,2024
71,1024,Grow pipeline,25,94.0,2024
72,1024,Grow pipeline,20,95.0,2024
73,1025,Reduce process cost,30,73.0,2024
74,1025,Reduce process cost,20,46.0,2024
75,1025,Reduce process cost,20,62.0,2024
76,1025,Reduce process cost,50,83.0,2024
77,1026,Grow organic traffic,40,91.0,2024
78,1026,Grow qualified leads,20,98.0,2024
79,1027,Hit quarterly quota,25,86.0,2024
80,1027,Hit quarterly quota,20,94.0,2024
81,1027,Grow pipeline,50,109.0,2024
82,1028,Increase upsell,30,101.0,2024
83,1028,Reduce churn,40,74.0,2024
84,1029,Cut API latency,25,66.0,2024
85,1029,Reduce production incidents,40,76.0,2024
86,1029,Ship roadmap features,20,107.0,2024
87,1030,Launch new module,25,92.0,2024
88,1030,Launch new module,50,75.0,2024
89,1030,Increase activation rate,50,73.0,2024
90,1030,Launch new module,50,73.0,2024
91,1031,Improve data quality,20,86.0,2024
92,1031,Automate reporting pipeline,30,80.0,2024
93,1031,Improve data quality,20,78.0,2024
94,1032,Automate reporting pipeline,25,121.0,2024
95,1032,Improve data quality,40,109.0,2024
96,1032,Automate reporting pipeline,20,87.0,2024
97,1033,Ship roadmap features,25,95.0,2024
98,1033,Ship roadmap features,40,83.0,2024
99,1033,Cut API latency,30,68.0,2024
100,1033,Ship roadmap features,40,82.0,2024
101,1034,Improve win rate,30,75.0,2024
102,1034,Improve win rate,40,83.0,2024
103,1035,Cut response time,25,90.0,2024
104,1035,Improve NPS,20,81.0,2024
105,1035,Cut response time,25,88.0,2024
106,1035,Improve NPS,25,82.0,2024
107,1036,Reduce overdue invoices,50,68.0,2024
108,1036,Reduce overdue invoices,20,103.0,2024
109,1036,Close books faster,25,109.0,2024
110,1036,Improve forecast accuracy,50,98.0,2024
111,1037,Improve SLA compliance,30,90.0,2024
112,1037,Reduce process cost,40,90.0,2024
113,1037,Automate manual workflow,40,85.0,2024
114,1037,Reduce process cost,50,79.0,2024
115,1038,Improve forecast accuracy,25,74.0,2024
116,1038,Reduce overdue invoices,30,92.0,2024
117,1038,Improve forecast accuracy,40,81.0,2024
118,1038,Close books faster,50,88.0,2024
119,1039,Automate reporting pipeline,40,74.0,2024
120,1039,Deliver self-serve dashboards,40,76.0,2024
121,1039,Improve data quality,30,81.0,2024
122,1040,Improve data quality,30,98.0,2024
123,1040,Reduce query cost,25,104.0,2024
124,1040,Reduce query cost,50,98.0,2024
125,1041,Improve retention,40,65.0,2024
126,1041,Run discovery interviews,50,66.0,2024
127,1041,Improve retention,20,58.0,2024
128,1042,Grow qualified leads,50,111.0,2024
129,1042,Launch campaign,40,92.0,2024
130,1042,Launch campaign,40,103.0,2024
131,1043,Build design system,20,79.0,2024
132,1043,Build design system,20,99.0,2024
133,1043,Redesign onboarding,50,115.0,2024
134,1044,Automate manual workflow,50,100.0,2024
135,1044,Reduce process cost,25,88.0,2024
136,1044,Automate manual workflow,30,103.0,2024
137,1044,Improve SLA compliance,40,102.0,2024
138,1045,Reduce production incidents,50,68.0,2024
139,1045,Ship roadmap features,50,74.0,2024
140,1045,Ship roadmap features,40,85.0,2024
141,1045,Reduce production incidents,40,105.0,2024
142,1046,Close books faster,40,100.0,2024
143,1046,Close books faster,20,119.0,2024
144,1046,Improve forecast accuracy,25,116.0,2024
145,1047,Improve SLA compliance,50,77.0,2024
146,1047,Reduce process cost,20,80.0,2024
147,1047,Reduce process cost,40,75.0,2024
148,1048,Automate manual workflow,40,83.0,2024
149,1048,Automate manual workflow,50,73.0,2024
150,1048,Improve SLA compliance,25,67.0,2024
151,1048,Improve SLA compliance,40,93.0,2024
152,1049,Increase upsell,40,88.0,2024
153,1049,Increase upsell,20,107.0,2024
154,1049,Improve NPS,40,98.0,2024
155,1050,Improve usability score,25,86.0,2024
156,1050,Redesign onboarding,25,55.0,2024
157,1050,Build design system,25,76.0,2024
158,1050,Improve usability score,30,84.0,2024
159,1051,Launch campaign,30,91.0,2024
160,1051,Grow qualified leads,40,94.0,2024
161,1052,Close books faster,50,104.0,2024
162,1052,Reduce overdue invoices,20,93.0,2024
163,1053,Improve test coverage,50,98.0,2024
164,1053,Reduce production incidents,50,87.0,2024
165,1053,Cut API latency,20,83.0,2024
166,1053,Reduce production incidents,40,114.0,2024
167,1054,Expand key accounts,40,95.0,2024
168,1054,Hit quarterly quota,30,87.0,2024
169,1055,Increase activation rate,40,76.0,2024
170,1055,Run discovery interviews,20,76.0,2024
171,1056,Grow qualified leads,40,84.0,2024
172,1056,Launch campaign,20,83.0,2024
173,1056,Launch campaign,25,86.0,2024
174,1056,Improve CAC,40,83.0,2024
175,1057,Cut regretted attrition,30,91.0,2024
176,1057,Cut regretted attrition,40,92.0,2024
177,1057,Cut regretted attrition,40,117.0,2024
178,1057,Improve eNPS,25,72.0,2024
179,1058,Increase upsell,40,82.0,2024
180,1058,Reduce churn,20,89.0,2024
181,1058,Increase upsell,20,95.0,2024
182,1058,Reduce churn,20,67.0,2024
183,1059,Improve SLA compliance,20,92.0,2024
184,1059,Automate manual workflow,40,105.0,2024
185,1059,Improve SLA compliance,20,98.0,2024
186,1059,Reduce process cost,50,77.0,2024
187,1060,Increase upsell,20,81.0,2024
188,1060,Improve NPS,20,72.0,2024
189,1060,Increase upsell,20,55.0,2024
190,1060,Improve NPS,30,70.0,2024
191,1061,Improve forecast accuracy,50,124.0,2024
192,1061,Improve forecast accuracy,25,130.0,2024
193,1061,Reduce overdue invoices,25,96.0,2024
194,1061,Reduce overdue invoices,50,101.0,2024
195,1062,Reduce time-to-hire,20,89.0,2024
196,1062,Reduce time-to-hire,25,100.0,2024
197,1063,Reduce process cost,30,92.0,2024
198,1063,Automate manual workflow,50,104.0,2024
199,1063,Reduce process cost,30,82.0,2024
200,1063,Automate manual workflow,40,92.0,2024
201,1064,Improve test coverage,25,90.0,2024
202,1064,Cut API latency,30,90.0,2024
203,1064,Cut API latency,30,94.0,2024
204,1064,Improve test coverage,25,92.0,2024
205,1065,Grow pipeline,40,76.0,2024
206,1065,Improve win rate,25,97.0,2024
207,1065,Hit quarterly quota,30,101.0,2024
208,1066,Reduce query cost,30,83.0,2024
209,1066,Automate reporting pipeline,30,83.0,2024
210,1067,Improve SLA compliance,40,63.0,2024
211,1067,Reduce process cost,20,89.0,2024
212,1067,Automate manual workflow,30,78.0,2024
213,1067,Improve SLA compliance,25,88.0,2024
214,1068,Run discovery interviews,50,83.0,2024
215,1068,Launch new module,40,76.0,2024
216,1069,Reduce query cost,50,72.0,2024
217,1069,Reduce query cost,40,89.0,2024
218,1069,Automate reporting pipeline,40,72.0,2024
219,1070,Increase upsell,30,104.0,2024
220,1070,Cut response time,20,91.0,2024
221,1071,Improve retention,50,130.0,2024
222,1071,Increase activation rate,30,100.0,2024
223,1071,Improve retention,50,92.0,2024
224,1072,Run discovery interviews,50,103.0,2024
225,1072,Increase activation rate,30,96.0,2024
226,1072,Improve retention,50,93.0,2024
227,1072,Increase activation rate,50,93.0,2024
228,1073,Reduce time-to-hire,30,117.0,2024
229,1073,Cut regretted attrition,40,114.0,2024
230,1074,Improve retention,20,115.0,2024
231,1074,Improve retention,40,116.0,2024
232,1075,Improve test coverage,30,78.0,2024
233,1075,Reduce production incidents,50,96.0,2024
234,1075,Cut API latency,25,94.0,2024
235,1076,Increase upsell,30,82.0,2024
236,1076,Improve NPS,30,72.0,2024
237,1077,Improve eNPS,50,88.0,2024
238,1077,Reduce time-to-hire,20,91.0,2024
239,1078,Grow qualified leads,20,69.0,2024
240,1078,Launch campaign,20,44.0,2024
241,1079,Deliver self-serve dashboards,40,88.0,2024
242,1079,Reduce query cost,50,68.0,2024
243,1079,Deliver self-serve dashboards,50,96.0,2024
244,1079,Improve data quality,25,83.0,2024
245,1080,Grow pipeline,30,89.0,2024
246,1080,Expand key accounts,20,73.0,2024
247,1081,Improve data quality,20,79.0,2024
248,1081,Reduce query cost,25,83.0,2024
249,1081,Deliver self-serve dashboards,50,80.0,2024
250,1081,Automate reporting pipeline,20,82.0,2024
251,1082,Close books faster,40,91.0,2024
252,1082,Improve forecast accuracy,25,95.0,2024
253,1083,Expand key accounts,25,55.0,2024
254,1083,Hit quarterly quota,30,79.0,2024
255,1083,Improve win rate,30,84.0,2024
256,1084,Redesign onboarding,50,93.0,2024
257,1084,Improve usability score,40,93.0,2024
258,1084,Improve usability score,20,72.0,2024
259,1084,Improve usability score,50,65.0,2024
260,1085,Improve SLA compliance,30,110.0,2024
261,1085,Reduce process cost,30,87.0,2024
262,1086,Improve test coverage,40,90.0,2024
263,1086,Improve test coverage,40,90.0,2024
264,1086,Reduce production incidents,30,107.0,2024
265,1086,Ship roadmap features,50,80.0,2024
266,1087,Cut API latency,20,73.0,2024
267,1087,Cut API latency,50,82.0,2024
268,1088,Reduce overdue invoices,40,90.0,2024
269,1088,Close books faster,20,66.0,2024
270,1088,Improve forecast accuracy,40,68.0,2024
271,1089,Grow organic traffic,25,90.0,2024
272,1089,Grow organic traffic,30,98.0,2024
273,1090,Redesign onboarding,30,86.0,2024
274,1090,Build design system,25,90.0,2024
275,1090,Improve usability score,25,84.0,2024
276,1090,Build design system,40,73.0,2024
277,1091,Improve usability score,50,66.0,2024
278,1091,Improve usability score,50,76.0,2024
279,1091,Build design system,50,80.0,2024
280,1092,Cut regretted attrition,40,104.0,2024
281,1092,Improve eNPS,30,86.0,2024
282,1092,Improve eNPS,30,87.0,2024
283,1092,Improve eNPS,50,92.0,2024
284,1093,Expand key accounts,30,81.0,2024
285,1093,Hit quarterly quota,25,101.0,2024
286,1093,Improve win rate,20,57.0,2024
287,1094,Improve usability score,25,78.0,2024
288,1094,Improve usability score,50,108.0,2024
289,1095,Improve CAC,40,84.0,2024
290,1095,Grow qualified leads,30,73.0,2024
291,1095,Grow organic traffic,25,92.0,2024
292,1095,Grow organic traffic,30,112.0,2024
293,1096,Grow qualified leads,50,118.0,2024
294,1096,Improve CAC,30,70.0,2024
295,1096,Grow organic traffic,25,78.0,2024
296,1096,Grow qualified leads,20,97.0,2024
297,1097,Reduce process cost,50,77.0,2024
298,1097,Reduce process cost,30,68.0,2024
299,1098,Cut regretted attrition,25,128.0,2024
300,1098,Improve eNPS,30,99.0,2024
301,1098,Improve eNPS,20,104.0,2024
302,1099,Launch campaign,40,94.0,2024
303,1099,Grow organic traffic,25,85.0,2024
304,1100,Improve SLA compliance,25,85.0,2024
305,1100,Improve SLA compliance,40,102.0,2024
306,1100,Improve SLA compliance,40,95.0,2024
307,1100,Reduce process cost,50,104.0,2024
308,1101,Increase activation rate,30,95.0,2024
309,1101,Launch new module,20,49.0,2024
310,1101,Run discovery interviews,20,74.0,2024
311,1102,Improve usability score,25,51.0,2024
312,1102,Build design system,30,57.0,2024
313,1103,Redesign onboarding,20,66.0,2024
314,1103,Redesign onboarding,40,83.0,2024
315,1104,Redesign onboarding,40,70.0,2024
316,1104,Redesign onboarding,50,74.0,2024
317,1104,Build design system,25,71.0,2024
318,1104,Build design system,30,65.0,2024
319,1105,Improve win rate,40,62.0,2024
320,1105,Grow pipeline,20,64.0,2024
321,1105,Hit quarterly quota,25,83.0,2024
322,1106,Grow qualified leads,25,102.0,2024
323,1106,Grow qualified leads,40,94.0,2024
324,1106,Improve CAC,50,100.0,2024
325,1106,Grow organic traffic,50,114.0,2024
326,1107,Improve eNPS,40,109.0,2024
327,1107,Reduce time-to-hire,30,130.0,2024
328,1108,Improve win rate,30,84.0,2024
329,1108,Improve win rate,50,98.0,2024
330,1108,Expand key accounts,40,84.0,2024
331,1108,Grow pipeline,30,85.0,2024
332,1109,Deliver self-serve dashboards,30,110.0,2024
333,1109,Automate reporting pipeline,50,83.0,2024
334,1109,Automate reporting pipeline,25,108.0,2024
335,1110,Ship roadmap features,30,93.0,2024
336,1110,Ship roadmap features,20,91.0,2024
337,1110,Ship roadmap features,50,79.0,2024
338,1110,Cut API latency,40,96.0,2024
339,1111,Grow qualified leads,30,90.0,2024
340,1111,Launch campaign,40,100.0,2024
341,1111,Launch campaign,25,86.0,2024
342,1111,Improve CAC,50,121.0,2024
343,1112,Cut API latency,20,80.0,2024
344,1112,Improve test coverage,25,93.0,2024
345,1112,Reduce production incidents,25,66.0,2024
346,1113,Improve usability score,25,74.0,2024
347,1113,Improve usability score,25,94.0,2024
348,1114,Automate manual workflow,50,96.0,2024
349,1114,Reduce process cost,20,87.0,2024
350,1114,Automate manual workflow,25,91.0,2024
351,1114,Improve SLA compliance,25,79.0,2024
352,1115,Redesign onboarding,40,84.0,2024
353,1115,Build design system,50,90.0,2024
354,1116,Deliver self-serve dashboards,25,101.0,2024
355,1116,Reduce query cost,40,107.0,2024
356,1116,Reduce query cost,25,98.0,2024
357,1117,Reduce overdue invoices,30,92.0,2024
358,1117,Close books faster,40,85.0,2024
359,1117,Close books faster,50,74.0,2024
360,1118,Automate manual workflow,40,101.0,2024
361,1118,Improve SLA compliance,25,116.0,2024
362,1118,Improve SLA compliance,20,110.0,2024
363,1119,Cut response time,40,103.0,2024
364,1119,Improve NPS,30,98.0,2024
365,1119,Cut response time,20,96.0,2024
366,1119,Reduce churn,40,92.0,2024
367,1120,Improve NPS,25,100.0,2024
368,1120,Increase upsell,30,96.0,2024
369,1121,Improve retention,40,85.0,2024
370,1121,Launch new module,30,80.0,2024
371,1121,Run discovery interviews,25,87.0,2024
372,1121,Launch new module,25,83.0,2024
373,1122,Cut API latency,20,78.0,2024
374,1122,Reduce production incidents,30,93.0,2024
375,1122,Improve test coverage,25,94.0,2024
376,1123,Improve win rate,50,103.0,2024
377,1123,Expand key accounts,25,109.0,2024
378,1123,Hit quarterly quota,25,106.0,2024
379,1124,Close books faster,25,86.0,2024
380,1124,Close books faster,50,53.0,2024
381,1124,Improve forecast accuracy,40,68.0,2024
382,1125,Deliver self-serve dashboards,25,87.0,2024
383,1125,Deliver self-serve dashboards,20,76.0,2024
384,1126,Redesign onboarding,30,80.0,2024
385,1126,Build design system,30,73.0,2024
386,1126,Build design system,40,72.0,2024
387,1126,Improve usability score,50,83.0,2024
388,1127,Launch new module,50,114.0,2024
389,1127,Run discovery interviews,40,122.0,2024
390,1127,Increase activation rate,30,100.0,2024
391,1127,Increase activation rate,20,103.0,2024
392,1128,Cut API latency,50,58.0,2024
393,1128,Reduce production incidents,30,53.0,2024
394,1128,Cut API latency,30,75.0,2024
395,1129,Cut regretted attrition,40,75.0,2024
396,1129,Reduce time-to-hire,50,70.0,2024
397,1129,Improve eNPS,30,76.0,2024
398,1130,Grow qualified leads,30,97.0,2024
399,1130,Launch campaign,50,109.0,2024
400,1130,Launch campaign,40,124.0,2024
401,1131,Ship roadmap features,25,80.0,2024
402,1131,Ship roadmap features,25,85.0,2024
403,1131,Reduce production incidents,25,90.0,2024
404,1132,Deliver self-serve dashboards,30,64.0,2024
405,1132,Reduce query cost,40,105.0,2024
406,1132,Automate reporting pipeline,20,80.0,2024
407,1133,Expand key accounts,25,86.0,2024
408,1133,Grow pipeline,50,87.0,2024
409,1133,Improve win rate,30,66.0,2024
410,1133,Improve win rate,25,100.0,2024
411,1134,Launch campaign,20,87.0,2024
412,1134,Grow organic traffic,40,79.0,2024
413,1134,Grow qualified leads,50,113.0,2024
414,1135,Improve win rate,25,86.0,2024
415,1135,Hit quarterly quota,20,97.0,2024
416,1135,Grow pipeline,20,69.0,2024
417,1135,Grow pipeline,25,90.0,2024
418,1136,Automate manual workflow,20,116.0,2024
419,1136,Automate manual workflow,20,102.0,2024
420,1136,Improve SLA compliance,50,112.0,2024
421,1136,Reduce process cost,20,86.0,2024
422,1137,Grow pipeline,50,95.0,2024
423,1137,Grow pipeline,25,105.0,2024
424,1137,Improve win rate,40,111.0,2024
425,1138,Increase activation rate,30,77.0,2024
426,1138,Increase activation rate,20,106.0,2024
427,1138,Increase activation rate,20,92.0,2024
428,1138,Improve retention,25,84.0,2024
429,1139,Cut API latency,30,99.0,2024
430,1139,Ship roadmap features,30,87.0,2024
431,1140,Improve eNPS,20,66.0,2024
432,1140,Reduce time-to-hire,40,65.0,2024
433,1140,Improve eNPS,25,47.0,2024
434,1141,Improve eNPS,20,100.0,2024
435,1141,Improve eNPS,40,86.0,2024
436,1141,Improve eNPS,50,93.0,2024
437,1141,Improve eNPS,50,82.0,2024
438,1142,Run discovery interviews,50,93.0,2024
439,1142,Improve retention,30,96.0,2024
440,1142,Run discovery interviews,30,73.0,2024
441,1143,Reduce process cost,50,93.0,2024
442,1143,Automate manual workflow,30,98.0,2024
443,1143,Reduce process cost,20,93.0,2024
444,1143,Reduce process cost,30,82.0,2024
445,1144,Improve CAC,40,79.0,2024
446,1144,Improve CAC,50,60.0,2024
447,1144,Grow qualified leads,40,54.0,2024
448,1144,Grow qualified leads,30,64.0,2024
449,1145,Improve retention,30,70.0,2024
450,1145,Increase activation rate,50,86.0,2024
451,1145,Launch new module,50,86.0,2024
452,1145,Improve retention,25,83.0,2024
453,1146,Improve retention,25,80.0,2024
454,1146,Improve retention,25,83.0,2024
455,1146,Increase activation rate,40,92.0,2024
456,1146,Launch new module,20,73.0,2024
457,1147,Improve usability score,30,102.0,2024
458,1147,Redesign onboarding,20,106.0,2024
459,1147,Improve usability score,25,85.0,2024
460,1148,Improve win rate,30,74.0,2024
461,1148,Expand key accounts,30,83.0,2024
462,1149,Launch campaign,30,103.0,2024
463,1149,Improve CAC,20,69.0,2024
464,1149,Improve CAC,20,85.0,2024
465,1149,Improve CAC,40,91.0,2024
466,1150,Cut API latency,50,79.0,2024
467,1150,Improve test coverage,40,95.0,2024
468,1150,Ship roadmap features,20,98.0,2024
469,1150,Ship roadmap features,30,60.0,2024
470,1151,Close books faster,30,93.0,2024
471,1151,Reduce overdue invoices,25,86.0,2024
472,1152,Reduce churn,25,120.0,2024
473,1152,Increase upsell,30,125.0,2024
474,1153,Cut regretted attrition,25,84.0,2024
475,1153,Cut regretted attrition,25,74.0,2024
476,1154,Redesign onboarding,30,79.0,2024
477,1154,Improve usability score,20,46.0,2024
478,1154,Improve usability score,30,85.0,2024
479,1155,Launch new module,20,78.0,2024
480,1155,Increase activation rate,30,103.0,2024
481,1156,Improve NPS,30,71.0,2024
482,1156,Cut response time,50,90.0,2024
483,1156,Increase upsell,50,66.0,2024
484,1156,Reduce churn,20,93.0,2024
485,1157,Improve forecast accuracy,50,95.0,2024
486,1157,Improve forecast accuracy,20,111.0,2024
487,1157,Close books faster,25,100.0,2024
488,1158,Improve retention,30,116.0,2024
489,1158,Run discovery interviews,20,101.0,2024
490,1159,Automate manual workflow,50,79.0,2024
491,1159,Improve SLA compliance,20,93.0,2024
492,1160,Improve win rate,25,81.0,2024
493,1160,Improve win rate,50,76.0,2024
494,1161,Increase upsell,40,88.0,2024
495,1161,Reduce churn,25,129.0,2024
496,1161,Improve NPS,50,83.0,2024
497,1161,Cut response time,25,109.0,2024
498,1162,Cut API latency,50,104.0,2024
499,1162,Cut API latency,20,109.0,2024
500,1162,Ship roadmap features,40,112.0,2024
501,1163,Improve eNPS,25,83.0,2024
502,1163,Reduce time-to-hire,20,74.0,2024
503,1164,Increase activation rate,25,95.0,2024
504,1164,Increase activation rate,25,104.0,2024
505,1165,Reduce production incidents,25,94.0,2024
506,1165,Reduce production incidents,20,78.0,2024
507,1165,Improve test coverage,50,80.0,2024
508,1165,Improve test coverage,50,64.0,2024
509,1166,Improve SLA compliance,50,78.0,2024
510,1166,Automate manual workflow,50,82.0,2024
511,1167,Automate reporting pipeline,50,102.0,2024
512,1167,Reduce query cost,40,90.0,2024
513,1168,Launch campaign,25,109.0,2024
514,1168,Improve CAC,20,83.0,2024
515,1168,Grow qualified leads,50,108.0,2024
516,1169,Grow qualified leads,50,105.0,2024
517,1169,Improve CAC,20,84.0,2024
518,1169,Improve CAC,25,96.0,2024
519,1169,Launch campaign,40,111.0,2024
520,1170,Improve CAC,20,84.0,2024
521,1170,Grow organic traffic,25,97.0,2024
522,1170,Improve CAC,40,88.0,2024
523,1170,Grow organic traffic,40,80.0,2024
524,1171,Launch campaign,20,87.0,2024
525,1171,Grow organic traffic,20,118.0,2024
526,1172,Improve CAC,50,118.0,2024
527,1172,Grow qualified leads,50,100.0,2024
528,1173,Improve usability score,40,93.0,2024
529,1173,Build design system,20,115.0,2024
530,1174,Reduce churn,20,81.0,2024
531,1174,Improve NPS,25,118.0,2024
532,1174,Improve NPS,20,83.0,2024
533,1175,Improve win rate,30,78.0,2024
534,1175,Improve win rate,40,70.0,2024
535,1176,Grow organic traffic,20,72.0,2024
536,1176,Launch campaign,50,72.0,2024
537,1177,Cut API latency,30,65.0,2024
538,1177,Reduce production incidents,40,85.0,2024
539,1177,Cut API latency,30,69.0,2024
540,1178,Improve data quality,30,52.0,2024
541,1178,Reduce query cost,25,67.0,2024
542,1178,Improve data quality,20,63.0,2024
543,1178,Reduce query cost,25,80.0,2024
544,1179,Run discovery interviews,20,108.0,2024
545,1179,Launch new module,40,94.0,2024
546,1180,Grow qualified leads,20,100.0,2024
547,1180,Grow qualified leads,30,83.0,2024
548,1180,Grow organic traffic,20,89.0,2024
549,1180,Improve CAC,50,88.0,2024
550,1181,Improve forecast accuracy,25,96.0,2024
551,1181,Close books faster,40,70.0,2024
552,1181,Improve forecast accuracy,40,75.0,2024
553,1181,Close books faster,20,93.0,2024
554,1182,Automate manual workflow,50,112.0,2024
555,1182,Reduce process cost,40,128.0,2024
556,1182,Automate manual workflow,40,112.0,2024
557,1183,Ship roadmap features,25,107.0,2024
558,1183,Ship roadmap features,25,92.0,2024
559,1183,Cut API latency,20,90.0,2024
560,1184,Improve eNPS,20,65.0,2024
561,1184,Cut regretted attrition,30,62.0,2024
562,1185,Hit quarterly quota,20,96.0,2024
563,1185,Expand key accounts,20,129.0,2024
564,1185,Improve win rate,20,94.0,2024
565,1185,Expand key accounts,25,105.0,2024
566,1186,Launch new module,25,94.0,2024
567,1186,Improve retention,25,94.0,2024
568,1187,Improve forecast accuracy,30,109.0,2024
569,1187,Reduce overdue invoices,40,99.0,2024
570,1188,Increase upsell,50,81.0,2024
571,1188,Improve NPS,50,96.0,2024
572,1188,Improve NPS,25,103.0,2024
573,1189,Increase upsell,50,71.0,2024
574,1189,Reduce churn,50,90.0,2024
575,1189,Cut response time,25,63.0,2024
576,1190,Increase upsell,50,81.0,2024
577,1190,Improve NPS,30,91.0,2024
578,1191,Improve eNPS,30,95.0,2024
579,1191,Improve eNPS,30,91.0,2024
580,1191,Reduce time-to-hire,25,87.0,2024
581,1191,Cut regretted attrition,20,117.0,2024
582,1192,Cut API latency,20,54.0,2024
583,1192,Ship roadmap features,30,81.0,2024
584,1192,Ship roadmap features,25,83.0,2024
585,1192,Cut API latency,40,68.0,2024
586,1193,Improve usability score,25,103.0,2024
587,1193,Improve usability score,40,109.0,2024
588,1193,Redesign onboarding,40,102.0,2024
589,1193,Improve usability score,25,81.0,2024
590,1194,Launch new module,50,113.0,2024
591,1194,Increase activation rate,20,113.0,2024
592,1195,Ship roadmap features,40,79.0,2024
593,1195,Improve test coverage,40,97.0,2024
594,1195,Improve test coverage,50,83.0,2024
595,1196,Cut API latency,40,95.0,2024
596,1196,Improve test coverage,50,96.0,2024
597,1196,Cut API latency,40,91.0,2024
598,1197,Increase upsell,20,106.0,2024
599,1197,Cut response time,25,116.0,2024
600,1197,Cut response time,20,94.0,2024
601,1197,Improve NPS,20,101.0,2024
602,1198,Grow pipeline,20,61.0,2024
603,1198,Expand key accounts,30,68.0,2024
604,1198,Improve win rate,25,79.0,2024
605,1199,Grow organic traffic,40,80.0,2024
606,1199,Grow organic traffic,20,81.0,2024
607,1199,Grow qualified leads,30,53.0,2024
608,1199,Launch campaign,50,79.0,2024
609,1200,Reduce churn,50,72.0,2024
610,1200,Reduce churn,20,104.0,2024
611,1200,Increase upsell,30,104.0,2024
612,1201,Reduce process cost,40,80.0,2024
613,1201,Improve SLA compliance,50,81.0,2024
614,1202,Improve usability score,30,82.0,2024
615,1202,Improve usability score,25,75.0,2024
616,1203,Cut response time,20,116.0,2024
617,1203,Reduce churn,40,94.0,2024
618,1203,Cut response time,20,100.0,2024
619,1203,Reduce churn,30,77.0,2024
620,1204,Close books faster,25,81.0,2024
621,1204,Improve forecast accuracy,20,103.0,2024
622,1204,Close books faster,50,92.0,2024
623,1205,Improve SLA compliance,40,92.0,2024
624,1205,Automate manual workflow,20,54.0,2024
625,1205,Reduce process cost,30,63.0,2024
626,1205,Reduce process cost,30,90.0,2024
627,1206,Improve retention,30,88.0,2024
628,1206,Launch new module,40,64.0,2024
629,1206,Launch new module,40,74.0,2024
630,1207,Deliver self-serve dashboards,25,76.0,2024
