salary_id,employee_id,effective_date,monthly_salary_idr,change_reason
143,1051,04/10/2018,12620000,Adjustment
144,1051,26/04/2020,13730000,Market Correction
145,1051,17-11-2021,14360000,Market Correction
146,1051,10/06/2023,15540000,Promotion
147,1052,03-09-2021,19940000,Initial
148,1052,04-05-2023,22100000,Annual Raise
149,1053,29/06/2021,26220000,Initial
150,1053,01/04/2023,27700000,Promotion
151,1054,04-12-2017,31540000,Initial
152,1054,11/09/2019,33000000,Annual Raise
153,1054,2021-06-18,34830000,Adjustment
154,1054,2023-03-26,37190000,Market Correction
155,1055,10-06-2019,26730000,Initial
156,1055,2021-06-29,29410000,Adjustment
157,1056,08/02/2015,11990000,Initial
158,1056,02/10/2016,12640000,Adjustment
159,1056,28-05-2018,13160000,Promotion
160,1056,2020-01-20,14480000,Adjustment
161,1056,14/09/2021,15520000,
162,1056,09-05-2023,16280000,Promotion
163,1057,11/01/2021,12180000,Initial
164,1058,2024-11-10,20240000,Initial
165,1059,2021-11-10,11500000,Initial
166,1059,07-06-2023,12210000,Annual Raise
167,1060,2022-06-10,16510000,Initial
168,1061,29-04-2023,21770000,Initial
169,1062,18/01/2023,19440000,Initial
170,1063,2020-09-01,11610000,Initial
171,1063,2022-11-01,12120000,Market Correction
172,1064,20/04/2024,19770000,Initial
173,1065,22-02-2022,46800000,Initial
174,1066,2021-04-16,22070000,Initial
175,1067,11/05/2024,22110000,Initial
176,1068,21-06-2015,61390000,Initial
177,1068,21-01-2017,65820000,Adjustment
178,1068,24/08/2018,72110000,Adjustment
179,1068,27/03/2020,76270000,Annual Raise
180,1068,28-10-2021,85370000,Annual Raise
181,1068,31-05-2023,92860000,Annual Raise
182,1069,25/08/2022,40920000,Initial
183,1070,17-12-2021,13570000,Initial
184,1070,25/06/2023,14960000,Market Correction
185,1071,2024-11-19,15470000,Initial
186,1072,10-10-2023,25650000,Initial
187,1073,28/12/2017,11640000,Initial
188,1074,30-06-2017,30580000,Initial
189,1074,30/12/2018,32590000,Promotion
190,1074,2020-06-30,36360000,Annual Raise
191,1074,31/12/2021,38990000,Promotion
192,1074,02/07/2023,41120000,Market Correction
193,1075,02-07-2017,64580000,Initial
194,1076,03/09/2023,10930000,Initial
195,1077,24-04-2015,9670000,Initial
196,1077,04-12-2016,10290000,Promotion
197,1077,17/07/2018,10940000,Annual Raise
198,1077,2020-02-27,11550000,Market Correction
199,1077,09/10/2021,12230000,Promotion
200,1077,2023-05-22,12920000,Adjustment
201,1078,06/06/2015,40540000,Initial
202,1078,20/03/2017,42280000,Promotion
203,1078,02/01/2019,44560000,Adjustment
204,1079,23/11/2019,31210000,Initial
205,1079,06-08-2021,34110000,Adjustment
206,1079,20/04/2023,38180000,Promotion
207,1080,2017-11-09,17270000,Initial
208,1080,26/08/2019,18170000,Annual Raise
209,1080,11-06-2021,19890000,Adjustment
210,1081,31/01/2019,22980000,Initial
211,1081,20/01/2021,24250000,Market Correction
212,1081,11/01/2023,27130000,Annual Raise
213,1082,10-06-2022,46760000,Initial
214,1083,2022-06-24,29690000,Initial
215,1084,24/02/2017,13300000,Initial
216,1084,20-09-2018,14540000,Market Correction
217,1084,2020-04-16,15640000,Market Correction
218,1084,2021-11-10,17200000,Adjustment
219,1084,2023-06-07,18060000,Annual Raise
220,1085,2021-11-26,29510000,Initial
221,1085,15-06-2023,32930000,Adjustment
222,1086,29-05-2018,36990000,Initial
223,1086,21/01/2020,40070000,
224,1086,2021-09-14,43000000,Annual Raise
225,1086,09-05-2023,44750000,Annual Raise
226,1087,19-03-2020,17610000,Initial
227,1087,23-10-2021,19670000,Promotion
228,1087,29/05/2023,21230000,Annual Raise
229,1088,26-11-2023,21670000,Initial
230,1089,08-03-2018,17370000,Initial
231,1089,20-11-2019,18160000,Promotion
232,1089,04/08/2021,20330000,Adjustment
233,1089,19/04/2023,22030000,Adjustment
234,1090,06-03-2024,33600000,Initial
235,1091,2024-01-17,23040000,Initial
236,1092,2021-11-08,36620000,Initial
237,1092,06/06/2023,39630000,Promotion
238,1093,21-01-2023,22600000,Initial
239,1094,11/05/2022,9210000,Initial
240,1095,21/12/2016,16550000,Initial
241,1095,2018-07-30,18060000,Adjustment
242,1095,08-03-2020,19880000,Annual Raise
243,1095,15-10-2021,21050000,Promotion
244,1095,25-05-2023,23150000,Promotion
245,1096,2021-04-02,6640000,Initial
246,1096,16/02/2023,7110000,Annual Raise
247,1097,27-06-2022,34650000,Initial
248,1098,2021-11-14,36190000,Initial
249,1098,09-06-2023,38690000,Annual Raise
250,1099,13/10/2016,16060000,Initial
251,1099,05/06/2018,17950000,Market Correction
252,1099,26-01-2020,19370000,Annual Raise
253,1099,18-09-2021,20390000,Adjustment
254,1099,2023-05-11,22280000,Market Correction
255,1100,02/06/2024,17550000,Initial
256,1101,29/01/2018,14680000,Initial
257,1101,23/10/2019,16180000,Annual Raise
258,1101,16-07-2021,17980000,Promotion
259,1101,2023-04-09,18970000,Market Correction
260,1102,2018-10-07,27950000,Initial
261,1102,28/04/2020,29480000,Promotion
262,1102,19-11-2021,31380000,Annual Raise
263,1102,11-06-2023,33300000,Market Correction
264,1103,05-08-2017,70710000,Initial
265,1103,12/06/2019,77600000,Annual Raise
266,1103,19-04-2021,82210000,Annual Raise
267,1103,2023-02-24,87240000,Promotion
268,1104,27-08-2019,14700000,Initial
269,1104,08-06-2021,15820000,Promotion
270,1104,2023-03-21,16980000,Annual Raise
271,1105,27-04-2017,25970000,Initial
272,1105,2018-11-09,27690000,Promotion
273,1105,23/05/2020,29130000,Annual Raise
274,1105,05/12/2021,31250000,Market Correction
275,1105,19-06-2023,32660000,Annual Raise
276,1106,10-08-2024,34270000,Initial
277,1107,2018-12-11,12240000,Initial
278,1107,2020-06-16,12930000,Annual Raise
279,1107,21/12/2021,13550000,Annual Raise
280,1107,27-06-2023,14990000,Adjustment
281,1108,2021-01-13,31690000,Initial
282,1108,07-01-2023,33110000,
283,1109,22-06-2020,60230000,Initial
284,1109,2021-12-25,66610000,Annual Raise
285,1109,29/06/2023,73100000,Promotion
286,1110,2018-10-08,16770000,Initial
287,1110,29/04/2020,17890000,Adjustment
288,1110,19/11/2021,19580000,Market Correction
289,1110,11-06-2023,21530000,Annual Raise
290,1111,06/06/2016,24760000,Initial
291,1111,22-02-2018,26220000,Promotion
292,1111,10/11/2019,28820000,Annual Raise
293,1111,28/07/2021,30260000,Market Correction
294,1111,15/04/2023,33170000,Annual Raise
295,1112,2021-08-21,36400000,Initial
296,1112,2023-04-27,38090000,Market Correction
297,1113,09-07-2016,22150000,Initial
298,1113,2018-03-20,23790000,Market Correction
299,1113,30/11/2019,25130000,
300,1113,10/08/2021,26150000,Annual Raise
301,1113,2023-04-22,27600000,
302,1114,02/09/2018,9880000,Initial
303,1114,02/04/2020,10830000,Promotion
304,1114,2021-11-01,11280000,Adjustment
305,1114,02-06-2023,12310000,Annual Raise
306,1115,13/02/2018,24430000,Initial
307,1115,03-11-2019,26600000,Adjustment
308,1115,24-07-2021,29230000,Annual Raise
309,1115,2023-04-13,32180000,Adjustment
310,1116,10-04-2020,25380000,Initial
311,1116,12/01/2022,27990000,Market Correction
312,1117,2017-07-07,13500000,Initial
313,1117,21-05-2019,14190000,Adjustment
314,1117,04-04-2021,15180000,Adjustment
315,1117,17/02/2023,16470000,Annual Raise
316,1118,09-10-2017,5110000,Initial
317,1118,31-07-2019,5550000,
318,1118,21-05-2021,5970000,Annual Raise
319,1118,2023-03-12,6340000,Promotion
320,1119,2016-06-01,11320000,Initial
321,1119,18/02/2018,12640000,Market Correction
322,1119,2019-11-07,13450000,Adjustment
323,1119,2021-07-26,14310000,
324,1119,2023-04-14,15300000,Adjustment
325,1120,19/03/2020,4860000,Initial
326,1120,2021-10-23,5180000,Promotion
327,1120,29/05/2023,5530000,Annual Raise
328,1121,2023-09-21,43330000,Initial
329,1122,01/07/2018,15870000,Initial
330,1122,2020-02-15,16870000,Annual Raise
331,1122,01-10-2021,18770000,Market Correction
332,1122,18/05/2023,19960000,Promotion
333,1123,08/11/2015,23160000,Initial
334,1123,18-05-2017,25930000,Market Correction
335,1123,26-11-2018,28390000,Annual Raise
336,1123,05-06-2020,31530000,Market Correction
337,1123,14-12-2021,34890000,Promotion
338,1123,24/06/2023,36610000,Market Correction
339,1124,14-07-2024,15060000,Initial
340,1125,23-11-2018,22780000,Initial
341,1125,2020-06-02,24730000,Annual Raise
342,1125,12-12-2021,27560000,Promotion
343,1125,23-06-2023,30030000,Market Correction
344,1126,21/02/2015,43040000,Initial
345,1126,13/10/2016,45880000,Annual Raise
346,1126,05-06-2018,48400000,Market Correction
347,1126,27-01-2020,51470000,Annual Raise
348,1126,18/09/2021,56690000,Market Correction
349,1126,11-05-2023,62110000,Annual Raise
350,1127,16/02/2022,27470000,Initial
351,1128,22/12/2016,19740000,Initial
352,1128,31/07/2018,21320000,Annual Raise
353,1128,2020-03-08,22960000,
354,1128,16/10/2021,25270000,Promotion
355,1128,2023-05-25,28090000,Promotion
356,1129,19-03-2020,15390000,Initial
357,1129,23/10/2021,16910000,Promotion
358,1129,29/05/2023,18450000,Market Correction
359,1130,20/07/2024,18940000,Initial
360,1131,25-09-2017,30010000,Initial
361,1131,20-07-2019,32050000,Adjustment
362,1131,14/05/2021,34080000,Market Correction
363,1131,09/03/2023,36610000,Market Correction
364,1132,09-10-2018,24490000,
365,1132,2020-11-02,26270000,Annual Raise
366,1133,12-12-2023,14320000,
367,1134,26-03-2021,44660000,Initial
368,1135,2020-06-24,12670000,Initial
369,1135,26-12-2021,14150000,Promotion
370,1135,30-06-2023,15220000,Market Correction
371,1136,2020-01-10,27510000,Initial
372,1136,07-09-2021,30040000,Adjustment
373,1136,06-05-2023,31990000,Promotion
374,1137,04-10-2022,41490000,Initial
375,1138,17-03-2021,42250000,Initial
376,1138,08-02-2023,45140000,Annual Raise
377,1139,2018-12-12,45600000,Initial
378,1139,17-06-2020,49190000,
379,1139,22/12/2021,51900000,Market Correction
380,1139,2023-06-28,57280000,Annual Raise
381,1140,09/05/2016,24580000,Initial
382,1140,30/01/2018,25860000,Annual Raise
383,1140,24-10-2019,27810000,Promotion
384,1140,17/07/2021,30790000,Adjustment
385,1140,10/04/2023,32450000,Annual Raise
386,1141,23-02-2017,22230000,Initial
387,1141,19/09/2018,23500000,Adjustment
388,1141,2020-04-15,24610000,Adjustment
389,1141,10-11-2021,26990000,Market Correction
390,1141,2023-06-07,28150000,Annual Raise
391,1142,16-02-2016,22840000,Initial
392,1142,25-11-2017,24030000,Annual Raise
393,1142,04-09-2019,25080000,Promotion
394,1142,2021-06-14,27800000,Adjustment
395,1142,24/03/2023,30500000,Adjustment
396,1143,23-05-2018,9730000,Initial
397,1143,2020-01-04,10650000,Promotion
398,1143,18/08/2021,11210000,Promotion
399,1143,02-04-2023,12280000,Promotion
400,1144,2021-03-16,19660000,Initial
401,1144,2023-02-07,21200000,Market Correction
402,1145,25/02/2016,16500000,Initial
403,1145,02/12/2017,17970000,Promotion
404,1145,10-09-2019,19320000,Promotion
405,1145,2021-06-17,21490000,
406,1145,26-03-2023,22490000,Market Correction
407,1146,2019-12-10,16590000,Initial
408,1146,17/08/2021,18100000,Annual Raise
409,1146,25/04/2023,19140000,Market Correction
410,1147,2016-04-12,22160000,Initial
411,1147,09/01/2018,23590000,Market Correction
412,1147,2019-10-08,25820000,Adjustment
413,1147,2021-07-06,28800000,Market Correction
414,1147,04/04/2023,32130000,Adjustment
415,1148,13/09/2016,16000000,Initial
416,1148,2018-05-27,17060000,Market Correction
417,1148,07-02-2020,19060000,Market Correction
418,1148,2021-10-20,21310000,Annual Raise
419,1149,2016-04-30,10200000,Initial
420,1149,23/01/2018,11260000,Market Correction
421,1149,19-10-2019,11960000,Market Correction
422,1149,2021-07-13,12660000,Adjustment
423,1149,08-04-2023,13740000,Annual Raise
424,1150,13/09/2023,29030000,Initial
425,1151,24-08-2024,18280000,Initial
426,1152,02/11/2021,24140000,Initial
427,1152,2023-06-03,26380000,Market Correction
428,1153,06-01-2022,51220000,Initial
429,1154,10/03/2021,34530000,Initial
430,1155,07/04/2018,20280000,Initial
431,1155,2020-02-16,22570000,
432,1156,19-10-2015,12900000,
433,1156,01-05-2017,14070000,Promotion
434,1156,12/11/2018,15240000,Adjustment
435,1156,26-05-2020,16240000,
436,1156,07-12-2021,17270000,Annual Raise
437,1156,20/06/2023,18890000,Adjustment
438,1157,08-10-2019,19880000,Initial
439,1157,06/07/2021,22260000,Annual Raise
440,1157,2023-04-04,24520000,Annual Raise
441,1158,08/04/2024,27350000,Initial
442,1159,2019-12-04,15360000,Initial
443,1159,2021-08-13,15980000,Market Correction
444,1159,2023-04-23,17530000,Adjustment
445,1160,20-01-2018,12610000,Initial
446,1160,16/10/2019,13420000,Promotion
447,1160,2021-07-12,14380000,Market Correction
448,1160,2023-04-07,16000000,Annual Raise
449,1161,2019-11-05,9630000,Initial
450,1161,25/07/2021,10670000,Annual Raise
451,1161,14-04-2023,11100000,Market Correction
452,1162,26/07/2017,38650000,Initial
453,1162,05-06-2019,41040000,Annual Raise
454,1162,2021-04-14,44490000,Promotion
455,1162,22/02/2023,46560000,Promotion
456,1163,30/07/2023,12290000,Initial
457,1164,11-04-2020,36960000,Initial
458,1164,07-11-2021,38860000,Adjustment
459,1164,2023-06-05,43060000,Annual Raise
460,1165,25/07/2021,27460000,Initial
461,1165,14/04/2023,28770000,
462,1166,26-11-2018,18530000,Initial
463,1166,05-06-2020,20440000,Promotion
464,1166,2021-12-14,21700000,Adjustment
465,1166,2023-06-24,23590000,Promotion
466,1167,12-09-2018,32840000,Initial
467,1167,09/04/2020,36650000,Annual Raise
468,1167,2021-11-06,40200000,Promotion
469,1167,2023-06-05,41890000,Promotion
470,1168,15-02-2024,26000000,Initial
471,1169,30-10-2017,40020000,Initial
472,1169,2019-08-16,43370000,Adjustment
473,1169,2021-06-01,45170000,Adjustment
474,1169,2023-03-18,47800000,Annual Raise
475,1170,2022-05-17,48900000,Initial
476,1171,24-10-2020,5340000,Initial
477,1171,2022-11-28,5760000,Promotion
478,1172,2017-04-13,15750000,
479,1172,29/10/2018,17130000,Annual Raise
480,1172,2020-05-15,18500000,Annual Raise
481,1172,2021-11-30,19540000,Adjustment
482,1172,17/06/2023,21610000,Annual Raise
483,1173,16-11-2024,17070000,Initial
484,1174,17-12-2022,34670000,Initial
485,1175,17/01/2016,17860000,Initial
486,1175,01-11-2017,19820000,Market Correction
487,1175,2019-08-17,20640000,Annual Raise
488,1175,02/06/2021,22450000,Annual Raise
489,1175,18-03-2023,24300000,Adjustment
490,1176,07-04-2022,36870000,Initial
491,1177,15/09/2020,28550000,Initial
492,1177,2022-11-08,31130000,Promotion
493,1178,2017-09-25,23320000,Initial
494,1178,20-07-2019,26120000,Annual Raise
495,1178,2021-05-14,27630000,Promotion
496,1178,09/03/2023,30780000,Annual Raise
497,1179,2024-09-09,43430000,Initial
498,1180,14-03-2024,24820000,Initial
499,1181,2024-09-14,28950000,Initial
500,1182,10-03-2021,9960000,Initial
501,1182,2023-02-04,11130000,
502,1183,2024-10-01,38750000,Initial
503,1184,2017-08-14,25000000,Initial
504,1184,19-06-2019,26520000,Annual Raise
505,1184,23-04-2021,29650000,Market Correction
506,1184,26-02-2023,32670000,
507,1185,28/11/2022,27630000,Initial
508,1186,21/07/2020,29340000,Initial
509,1186,2022-10-11,30520000,Adjustment
510,1187,02/10/2024,18730000,Initial
511,1188,2015-03-04,18540000,Initial
512,1188,22/10/2016,19720000,Market Correction
513,1188,2018-06-13,20760000,
514,1188,01-02-2020,23140000,Market Correction
515,1188,22-09-2021,24250000,Promotion
516,1188,2023-05-13,25390000,Promotion
517,1189,03/11/2015,3840000,
518,1189,2017-05-13,4040000,Adjustment
519,1189,2018-11-22,4370000,Promotion
520,1189,02-06-2020,4750000,Adjustment
521,1189,12/12/2021,5160000,Annual Raise
522,1189,2023-06-23,5650000,Annual Raise
523,1190,2022-04-15,13300000,Initial
524,1191,21/07/2018,10960000,Initial
525,1191,01-03-2020,11560000,Annual Raise
526,1191,2021-10-11,12850000,Adjustment
527,1191,23/05/2023,13770000,Annual Raise
528,1192,04-12-2021,21600000,Initial
529,1193,17/05/2023,16450000,Initial
530,1194,23/12/2019,16840000,Initial
531,1195,2018-04-16,18430000,Initial
532,1195,20/12/2019,19810000,Annual Raise
533,1195,2021-08-24,20810000,Adjustment
534,1195,2023-04-29,22100000,Market Correction
535,1196,07/05/2021,21610000,Initial
536,1196,2023-03-05,23320000,Market Correction
537,1197,01-11-2021,9260000,Initial
538,1197,02-06-2023,9960000,Adjustment
539,1198,2021-07-16,45690000,Initial
540,1198,2023-01-29,49100000,Promotion
541,1199,2022-06-24,29410000,Initial
542,1200,2015-10-30,9080000,Initial
543,1200,2017-05-10,9600000,Market Correction
544,1200,20-11-2018,10190000,Market Correction
545,1200,31-05-2020,10890000,Annual Raise
546,1200,11/12/2021,11830000,Adjustment
547,1200,22-06-2023,12440000,Market Correction
548,1201,02/03/2022,22320000,Initial
549,1202,2017-03-26,28560000,Initial
550,1202,14/10/2018,29880000,Promotion
551,1202,04/05/2020,33300000,Adjustment
552,1202,2021-11-22,35600000,Adjustment
553,1202,2023-06-13,39780000,Annual Raise
554,1203,31-05-2021,25200000,Initial
555,1203,17-03-2023,27120000,Promotion
556,1204,2015-03-31,31490000,Initial
557,1204,14/11/2016,33670000,Annual Raise
558,1204,01-07-2018,35240000,Market Correction
559,1204,2020-02-15,39170000,Market Correction
560,1204,01-10-2021,42820000,Adjustment
561,1204,18-05-2023,44780000,Annual Raise
562,1205,07-05-2021,36340000,Initial
563,1205,05-03-2023,37970000,Promotion
564,1206,04-05-2024,20940000,Initial
565,1207,22-10-2021,39450000,Initial
566,1207,2023-05-28,42180000,Promotion
567,1208,08/08/2022,12460000,Initial
568,1209,17-01-2022,23850000,Initial
569,1210,17/05/2015,14890000,Initial
570,1210,23/12/2016,16530000,Adjustment
571,1210,01/08/2018,17890000,Market Correction
572,1210,09/03/2020,19600000,
573,1210,16-10-2021,21420000,Adjustment
574,1210,25/05/2023,22410000,Adjustment
575,1211,31/08/2018,17360000,
576,1211,31-03-2020,18850000,Adjustment
577,1211,31-10-2021,20720000,Promotion
578,1211,02-06-2023,22310000,Market Correction
579,1212,14/12/2020,12840000,Initial
580,1212,23-12-2022,13680000,Annual Raise
581,1213,2024-03-31,18510000,Initial
582,1214,08/01/2024,18160000,Initial
583,1215,24-08-2024,31080000,Initial
584,1216,05-01-2016,18130000,Initial
585,1216,22-10-2017,19050000,Market Correction
586,1216,10-08-2019,20220000,Promotion
587,1216,28-05-2021,21450000,Promotion
588,1216,2023-03-16,22890000,Market Correction
589,1217,2020-02-06,11010000,
590,1217,25/09/2021,11570000,Annual Raise
591,1217,15-05-2023,12480000,Promotion
592,1218,22-03-2024,13900000,Initial
593,1219,15-04-2020,57340000,Initial
594,1219,2022-02-08,63850000,Adjustment
595,1220,06/04/2022,33680000,Initial
596,1221,22-04-2016,34060000,
597,1222,03-02-2016,36910000,Initial
598,1222,15/11/2017,39830000,Adjustment
599,1222,28/08/2019,42280000,Market Correction
600,1222,09/06/2021,46970000,Adjustment
601,1222,22/03/2023,48950000,Adjustment
602,1223,28-02-2019,31050000,Initial
603,1223,08-02-2021,32410000,Market Correction
604,1223,2023-01-20,35340000,Market Correction
605,1224,2021-08-02,20860000,
606,1224,18/04/2023,23110000,Market Correction
607,1225,07/05/2024,21690000,Initial
608,1226,2015-05-15,22530000,Initial
609,1226,21-12-2016,24230000,
610,1226,31-07-2018,25970000,Annual Raise
611,1226,08-03-2020,28790000,Adjustment
612,1226,2021-10-16,30080000,Annual Raise
613,1226,25-05-2023,33450000,Market Correction
614,1227,04-08-2024,13090000,Initial
615,1228,2015-09-06,16630000,Initial
616,1228,26-03-2017,18000000,Annual Raise
617,1228,15/10/2018,18730000,Annual Raise
618,1228,04-05-2020,20160000,Market Correction
619,1228,23-11-2021,21920000,Promotion
620,1228,13/06/2023,24410000,Annual Raise
621,1229,11/01/2016,10280000,Initial
622,1229,27-10-2017,11030000,Market Correction
623,1229,14-08-2019,12190000,Annual Raise
624,1229,2021-05-30,13540000,Adjustment
625,1229,17/03/2023,14840000,Market Correction
626,1230,27/07/2015,9780000,Initial
627,1230,20-02-2017,10190000,Adjustment
628,1230,17-09-2018,11090000,Market Correction
629,1230,14/04/2020,12120000,Promotion
630,1230,09-11-2021,13370000,
631,1230,06/06/2023,14220000,Annual Raise
632,1231,2015-10-09,14540000,Initial
633,1231,23/04/2017,16210000,Promotion
634,1231,06/11/2018,18040000,Annual Raise
635,1231,2020-05-21,20030000,Market Correction
636,1231,04/12/2021,21060000,Adjustment
637,1231,2023-06-19,23200000,Adjustment
638,1232,13/02/2024,25430000,Initial
639,1233,09/02/2018,13440000,Initial
640,1233,31/10/2019,14800000,Promotion
641,1233,22/07/2021,16360000,Annual Raise
642,1233,12-04-2023,18300000,
643,1234,15-12-2023,25880000,Initial
644,1235,10/11/2023,4970000,Initial
645,1236,22/12/2017,26080000,Initial
646,1236,2019-09-24,28460000,Market Correction
647,1236,27/06/2021,30780000,Adjustment
648,1236,2023-03-31,33140000,Annual Raise
649,1237,13/05/2023,38390000,Initial
650,1238,26/01/2020,18110000,Initial
651,1238,2021-09-17,20070000,Adjustment
652,1238,11/05/2023,21670000,Adjustment
653,1239,20-02-2020,70950000,Initial
654,1239,2021-10-04,78450000,Market Correction
655,1239,2023-05-19,82400000,Promotion
656,1240,2024-07-02,28950000,Initial
657,1241,29/10/2015,34630000,Initial
658,1241,2017-05-09,36520000,Market Correction
659,1241,2018-11-19,38500000,Annual Raise
660,1241,31-05-2020,40840000,
661,1241,10-12-2021,43350000,Promotion
